sample_id,seas,site,block,plot,year,month,date,species,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
J2C_MI,SP,J,J2,J2C,2017,6,6-Jun-17,Logal,,,,,,,,1,,,,,,,,,,,,
J2C_MI,SP,J,J2,J2C,2017,6,6-Jun-17,Trhir,,3,,1,,,1,,,,,,,,,1,1,2,3,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Acbra,,,,,,,,,,,,,,,1,1,,,2,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Acbra,,,,,,,,,,,,,,1,,,,,,1
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Acpar,,2,,1,,3,,1,,,4,2,3,3,2,1,5,3,6,5
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Adfas,,2,,,,,4,2,3,4,,,,,,,,,,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Cemel,,1,,,,1,,,,,,,,,,,,,,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Gaphl,,,,,,,,,,,2,1,1,1,3,,1,,,1
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Hycon,,,,,,,,,,,,,,,,1,2,,3,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Hygla,,,,1,,,,,,,,,,,,,,,,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Lasal,,,,,,,,,1,,,,,,,,,,,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Logal,,,,3,,,,,,,3,,,1,,2,,2,,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Tacal,,,1,,,,,,,,,,,,,,,3,,1
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Toarv,,,,,,,,1,,,,,,,,,,,,
J2C_MI,SP,J,J2,J2C,2018,5,16-May-18,Trhir,2,2,1,,1,,,,,,,,,,,,,,,
J2C_UP,SP,J,J2,J2C,2017,6,6-Jun-17,Acann,1,,,,,,,1,,1,,,,,,1,,,1,1
J2C_UP,SP,J,J2,J2C,2017,6,6-Jun-17,Adfas,,,,1,1,1,,,1,,,2,,,,,1,1,,
J2C_UP,SP,J,J2,J2C,2017,6,6-Jun-17,Cahir,,,1,,,,1,,,,,,,,,,,,,
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Acbra,,1,,,1,,,,,,1,,,,,,,2,,
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Acpar,2,,,,1,,3,,,,2,3,,3,,3,,,,3
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Adfas,,,,,,,,,,,,,,,2,,,,2,2
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Cemel,,,,,,,,2,,,,,,,,,,,,
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Femyu,,,,,,,,,1,,,,,,,,,,,
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Gaphl,,1,,,,,,,,,,,,,,,,,,
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Hygla,,,,,,,,,,,,,,,2,,,,,
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Lasal,,,,,,,,,,,,,,,,,,,,1
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Lofil,,1,1,1,,,,,,,1,1,2,1,,,,1,,
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Logal,1,,,,1,3,2,,,3,,,3,,1,2,4,,1,
J2C_UP,SP,J,J2,J2C,2018,5,16-May-18,Tacal,1,,,1,,,,,,,1,,1,1,,,,,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Adfas,,,2,,1,1,,,1,3,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Cecun,,,,2,,,,,,,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Cemel,2,,3,1,4,2,,1,,,,3,3,,3,5,7,3,1,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Cyech,,,,,,,,,4,2,2,4,1,,1,,,,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Gaapa,,,,,,,,1,,,,,,,,,,3,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Gacal,2,3,,1,,,,,,,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Logal,,,,,,1,4,,,,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Lyarv,,,,,,1,,,1,,,,,,,1,,,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Trhir,,,,,,,,,,,2,,1,1,,1,,,,
J2D_LW,SP,J,J2,J2D,2017,6,6-Jun-17,Stlep,1,3,3,1,2,,,,1,1,,,,,1,2,4,7,1,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Acbra,,,,,,,,,1,,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Acpar,3,2,4,2,,1,1,3,3,2,,,3,2,4,,2,3,3,3
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Adfas,,,,,,,,1,,,,,,,,,,2,,3
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Brdia,2,,,,,,,,,,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Cemel,,,,,1,,2,,1,,,,,1,,,1,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Dapus,,,,,,,,,,,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Gaphl,,,,,,,,,,,,,,,,,,,1,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Hygla,,,,,1,1,,,,,,,,,,,,,1,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Lasal,,,,,,,,,,,,1,,,,,,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Laser,,,,,,,,,,,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Lofil,,,1,,,,,,,,,1,1,,,,,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Logal,1,,,2,2,1,4,1,4,2,2,,1,,1,3,2,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Stlep,,9,3,4,,,,,,,,,,,,,,,,
J2D_LW,SP,J,J2,J2D,2018,5,16-May-18,Trhir,,,,,,,,,,,,,,,,,,,,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Acann,,,,,,,,,,,,,,,,,,,8,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Adfas,,1,2,,,,,,,,,,,,,,,,,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Hygla,,,,,,,,,,2,,,,,2,,,,,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Cemel,1,,,,,,,,,,,,,,,,,,,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Empen,6,7,8,,5,,,,,,,,,,,,,8,,9
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Gapar,2,2,,,,,,,,,1,,,,,,,,,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Strig,,,,,,,,,,,,,,,,1,,,,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Toarv,,,,3,,,5,3,3,,,,,,,,,,,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Trhir,,1,,,,,,,,,,,,,,,,,,
J2D_MI,SP,J,J2,J2D,2017,6,6-Jun-17,Laser,,,,,1,,,,,,1,5,1,1,,,1,,2,3
J2D_MI,SP,J,J2,J2D,2018,5,16-May-18,Acpar,2,2,1,3,3,1,2,4,,4,4,1,5,,2,2,,3,2,
J2D_MI,SP,J,J2,J2D,2018,5,16-May-18,Adfas,,1,1,5,4,,,2,,1,2,4,2,5,4,1,4,5,5,5
J2D_MI,SP,J,J2,J2D,2018,5,16-May-18,Brdia,,,,,,,,,,,,,,1,,,,,,
J2D_MI,SP,J,J2,J2D,2018,5,16-May-18,Cemel,,,3,,,,1,,,,1,,2,,,,,,,
J2D_MI,SP,J,J2,J2D,2018,5,16-May-18,Gapar,,,1,,,,,,,,,,,,,,,,,
J2D_MI,SP,J,J2,J2D,2018,5,16-May-18,Hygla,2,,3,,,,,,,,,,,,,,2,,,
J2D_MI,SP,J,J2,J2D,2018,5,16-May-18,Logal,1,3,,,,,4,,8,,,1,,,,1,,,,
J2D_UP,SP,J,J2,J2D,2017,6,6-Jun-17,Acann,1,3,2,,,,1,,,,2,1,,2,2,,,,1,
J2D_UP,SP,J,J2,J2D,2017,6,6-Jun-17,Adfas,1,,,1,,,,,,,,,,,,,,,,
J2D_UP,SP,J,J2,J2D,2017,6,6-Jun-17,Brele,,,,,,,,,,1,,,,,,,,,,
J2D_UP,SP,J,J2,J2D,2017,6,6-Jun-17,Gacal,,,,,1,,,,,,2,,2,,1,3,,3,,
J2D_UP,SP,J,J2,J2D,2017,6,6-Jun-17,Logal,,,,,,,,5,5,1,,,,,,,,,,
J2D_UP,SP,J,J2,J2D,2017,6,6-Jun-17,Trhir,,,,,,,,,,,,,,,,,1,,,
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Acpar,3,4,2,3,5,4,3,3,5,1,2,2,3,1,1,2,3,7,2,6
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Adfas,,,,,,,,,,,,,,,4,2,1,4,2,4
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Aicar,,,1,,,,,,,,,,,,,,,,,
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Brdia,1,5,2,4,4,5,5,2,,4,2,2,3,1,,1,4,1,,3
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Brhor,,,,,,,1,,,1,,,,,,,,,,
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Cemel,1,2,,1,2,3,,1,,2,4,,1,6,5,,2,7,4,1
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Gacal,,,,,1,,,,,,,,,,,,,,,
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Gapar,,,,,,,,,,,,,,,1,,,,,
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Gaphl,,,,,,1,,,1,,,,,,,,,,,
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Hygla,1,,,,,,,,,,,,,,,,,,1,
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Lofil,,,,,,3,3,,,,,2,,,,1,,,,
J2D_UP,SP,J,J2,J2D,2018,5,16-May-18,Logal,,,2,,,1,2,,,3,,,,,,3,,1,,
J2E_LW,SP,J,J2,J2E,2017,6,6-Jun-17,Adfas,,,,,,,,,5,2,,,,,,5,5,2,4,
J2E_LW,SP,J,J2,J2E,2018,5,16-May-18,Adfas,3,,,,,1,,,,,4,2,,,,,,,,
J2E_MI,SP,J,J2,J2E,2017,6,6-Jun-17,Adfas,1,,,,,,,,,,,,,,,,,,,
J2E_MI,SP,J,J2,J2E,2018,5,16-May-18,Adfas,,,,,,,,,,,,,1,5,3,5,3,2,2,
J2E_UP,SP,J,J2,J2E,2017,6,6-Jun-17,Adfas,2,,,,,,,,,,,,,,,,,,,
J2E_UP,SP,J,J2,J2E,2018,5,16-May-18,Adfas,1,,1,1,1,4,,7,5,2,3,4,5,1,1,1,4,3,3,5
J2F_LW,SP,J,J2,J2F,2017,6,6-Jun-17,Acann,,,,,,,1,3,5,,,,,2,2,,1,,,
J2F_LW,SP,J,J2,J2F,2018,5,16-May-18,Acbra,,1,,,,,,,,,,1,,1,,,,,,
J2F_LW,SP,J,J2,J2F,2018,5,16-May-18,Acgla,,,,,,,,,5,,,,,,,,,,,
J2F_LW,SP,J,J2,J2F,2018,5,16-May-18,Acpar,6,5,,,,1,2,4,1,3,2,3,2,5,,,,,,
J2F_LW,SP,J,J2,J2F,2018,5,16-May-18,Adfas,3,3,5,5,3,,,2,2,1,2,1,5,3,2,4,7,6,4,3
J2F_LW,SP,J,J2,J2F,2018,5,16-May-18,Logal,,,,,,,,,,,1,,,,,,,,,
J2F_LW,SP,J,J2,J2F,2018,5,16-May-18,Trhir,,,,,,,,,,,,,1,,,,,,,
J2F_MI,SP,J,J2,J2F,2017,6,6-Jun-17,Acann,,1,1,2,2,1,2,2,,1,,,,,,,2,2,,4
J2F_MI,SP,J,J2,J2F,2017,6,6-Jun-17,Adfas,3,,,,,,,,,,,,,,,2,,,3,
J2F_MI,SP,J,J2,J2F,2017,6,6-Jun-17,Gacal,,,,,,,1,,,,,,,,,,,,,
J2F_MI,SP,J,J2,J2F,2018,5,16-May-18,Acbra,,,,,,,,,,,,,,1,2,,,,,
J2F_MI,SP,J,J2,J2F,2018,5,16-May-18,Acpar,1,,2,3,2,4,2,,3,1,2,3,1,1,,2,2,,,
J2F_MI,SP,J,J2,J2F,2018,5,16-May-18,Adfas,5,4,1,2,3,,2,3,,4,3,1,1,2,1,2,1,1,,1
J2F_MI,SP,J,J2,J2F,2018,5,16-May-18,Cecun,,,,1,,,,,,,,,,,,1,,,,
J2F_UP,SP,J,J2,J2F,2017,6,6-Jun-17,Acann,,,,1,1,1,,,,,,,,,,1,,3,1,
J2F_UP,SP,J,J2,J2F,2017,6,6-Jun-17,Acgla,,,,,,1,,,1,,,,,,,,,,,
J2F_UP,SP,J,J2,J2F,2017,6,6-Jun-17,Adfas,,,,,,,,,,,,,,,,1,2,,,
J2F_UP,SP,J,J2,J2F,2018,5,16-May-18,Acbra,2,,,,1,,1,,,,,,,,1,,2,,,
J2F_UP,SP,J,J2,J2F,2018,5,16-May-18,Acpar,,2,3,3,1,3,3,,,5,,,,,1,2,,1,,2
J2F_UP,SP,J,J2,J2F,2018,5,16-May-18,Adfas,,,2,3,,1,,,4,2,1,,,,2,,,,,2
J3C_LW,SP,J,J3,J3C,2017,6,7-Jun-17,Acann,,,,,,,,3,,1,,,1,,,,,,1,1
J3C_LW,SP,J,J3,J3C,2017,6,7-Jun-17,Adfas,,,,,,,,1,,,,,,,,,,,,
J3C_LW,SP,J,J3,J3C,2017,6,7-Jun-17,Chpom,,,,,,,1,,,,,,,,1,,,,,
J3C_LW,SP,J,J3,J3C,2017,6,7-Jun-17,Empen,1,,,,,,1,,,,,,1,,1,,,,,
J3C_LW,SP,J,J3,J3C,2017,6,7-Jun-17,Hesco,,1,1,,,,,,,,,,,,,,,,,
J3C_LW,SP,J,J3,J3C,2017,6,7-Jun-17,Laser,,,,,,,,,,,,,,,,1,,,,
J3C_LW,SP,J,J3,J3C,2017,6,7-Jun-17,Logal,2,2,,2,,1,,,,,,,,,,,1,,,2
J3C_LW,SP,J,J3,J3C,2017,6,7-Jun-17,Toarv,,,,,,,,,,,,,1,2,1,1,4,5,3,
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Acbra,,,,,1,,,,,,,,3,,,,2,,,
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Acpar,2,,,1,,1,1,2,2,1,2,3,,4,3,4,2,,,2
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Adfas,,,,,,1,,,,,,,,,,,,,,
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Aghet,1,,,,,,,,,,2,,,1,,,,,,
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Cemel,,,,,1,,,,,2,,3,,,,,1,,,
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Gaphl,,,,,,,,,2,,,,,,5,,,,,
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Hesco,1,,,,,,,,,,,,,,,,,,,2
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Logal,,,,,,3,2,2,,,,,,,3,,1,3,2,1
J3C_LW,SP,J,J3,J3C,2018,5,14-May-18,Urlin,,1,2,,,,,,,,,,,,,,,,,
J3C_MI,SP,J,J3,J3C,2017,6,7-Jun-17,Acann,,,,,,,,,,,,,1,,2,,,,,1
J3C_MI,SP,J,J3,J3C,2017,6,7-Jun-17,Adfas,4,1,1,1,5,4,,4,5,6,,1,,,,,2,,,
J3C_MI,SP,J,J3,J3C,2017,6,7-Jun-17,Brdia,,,,,,,,,,,,,,1,,,,,,
J3C_MI,SP,J,J3,J3C,2017,6,7-Jun-17,Cabre,,,,,,,,,,,,,,2,,,,1,,
J3C_MI,SP,J,J3,J3C,2017,6,7-Jun-17,Hycon,,4,4,3,,,,,,,,,,,,,,,,
J3C_MI,SP,J,J3,J3C,2017,6,7-Jun-17,Logal,,,,,,,,,,,2,,,,,1,,3,,
J3C_MI,SP,J,J3,J3C,2017,6,7-Jun-17,Dapus,,,,,,1,,,,,,2,2,,1,,,,,
J3C_MI,SP,J,J3,J3C,2018,5,14-May-18,Acbra,,,,,1,,,,,,,,,,,,,,,
J3C_MI,SP,J,J3,J3C,2018,5,14-May-18,Acpar,4,3,5,2,2,,,4,4,,,,,,,,,2,,
J3C_MI,SP,J,J3,J3C,2018,5,14-May-18,Adfas,,,2,1,,2,1,4,1,5,6,6,4,3,4,2,3,3,3,1
J3C_MI,SP,J,J3,J3C,2018,5,14-May-18,Brdia,3,3,2,2,2,3,3,2,4,4,,3,,2,3,1,2,2,,
J3C_MI,SP,J,J3,J3C,2018,5,14-May-18,Dapus,,,,,1,,,,,,,,,,,,,,,
J3C_MI,SP,J,J3,J3C,2018,5,14-May-18,Hycon,,,,,,,,,,,,,7,2,,1,,,,4
J3C_MI,SP,J,J3,J3C,2018,5,14-May-18,Logal,3,3,,,,3,4,4,,,,,,,,,,,,
J3C_MI,SP,J,J3,J3C,2018,5,14-May-18,Urlin,,,,1,,,,,,,,,,,3,,,,,
J3C_UP,SP,J,J3,J3C,2017,6,7-Jun-17,Acann,,,,,,,,,1,,,,,1,,,,,,
J3C_UP,SP,J,J3,J3C,2017,6,7-Jun-17,Adfas,,,,,,,,,2,,,,,,,,,1,,
J3C_UP,SP,J,J3,J3C,2017,6,7-Jun-17,Urlin,,,,,,,,,,,4,,1,,1,,,,,
J3C_UP,SP,J,J3,J3C,2017,6,7-Jun-17,Cabre,4,4,2,2,3,1,1,2,,3,,2,1,1,1,1,1,1,1,1
J3C_UP,SP,J,J3,J3C,2017,6,7-Jun-17,Hycon,,,,,,1,,,,,,,,,,,,,,
J3C_UP,SP,J,J3,J3C,2017,6,7-Jun-17,Logal,,,,,,,,,1,,,,,,,,,,,
J3C_UP,SP,J,J3,J3C,2017,6,7-Jun-17,Namel,,,,,,,,,,,,,,,,,,,1,
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Acbra,,,,,,,,,2,,,1,,,,,,,,
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Acpar,3,2,,2,,3,6,1,2,,2,2,2,,,3,3,2,4,
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Adfas,,,,,3,,,,,,,1,,,3,,,,4,1
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Aicar,5,6,3,10,5,3,,1,,1,,,1,,,3,8,3,7,
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Brdia,1,2,,,3,,1,1,,1,2,3,3,,1,2,4,5,5,6
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Cemel,,,3,,,,,,,,,,,,,,,,,
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Ercal,,,,2,,,,,,,,,,,,,,,,
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Gaphl,,,,,,,,,,,,,,,1,,,,,
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Logal,,4,2,,,2,1,6,2,6,,,,2,2,5,,7,,3
J3C_UP,SP,J,J3,J3C,2018,5,14-May-18,Urlin,,,,,,,,,1,,,,3,3,,,1,,,
J3D_LW,SP,J,J3,J3D,2017,6,7-Jun-17,Acann,,,2,1,,,,,2,,,,2,,,2,1,1,4,1
J3D_LW,SP,J,J3,J3D,2017,6,7-Jun-17,Acgla,,,,,,,,,,,,,,,1,,,,,
J3D_LW,SP,J,J3,J3D,2017,6,7-Jun-17,Adfas,1,7,,,,3,,5,6,6,,,,,,1,,,,
J3D_LW,SP,J,J3,J3D,2017,6,7-Jun-17,Trhir,,,,,,,,2,,,2,1,,3,2,,,,,
J3D_LW,SP,J,J3,J3D,2018,5,14-May-18,Acgla,2,,,,1,,,,,,,,,,,,2,3,,
J3D_LW,SP,J,J3,J3D,2018,5,14-May-18,Acpar,,2,,2,3,2,1,2,1,1,2,,3,,5,3,3,,4,5
J3D_LW,SP,J,J3,J3D,2018,5,14-May-18,Adfas,,,,,,,,1,2,1,,,,,,,,,,
J3D_LW,SP,J,J3,J3D,2018,5,14-May-18,Trhir,,,,,,,,,,,,,,1,1,,,1,1,
J3D_MI,SP,J,J3,J3D,2017,6,7-Jun-17,Acann,,,,,,1,,,,,1,,,,,,,1,1,1
J3D_MI,SP,J,J3,J3D,2017,6,7-Jun-17,Acgla,,,,,,,,,,,,,,,,,,,1,
J3D_MI,SP,J,J3,J3D,2018,5,14-May-18,Acbra,,,,,,1,,,1,,,,,,,,,,,
J3D_MI,SP,J,J3,J3D,2018,5,14-May-18,Acgla,,,,,2,,,4,,1,,,,,,,,,,
J3D_MI,SP,J,J3,J3D,2018,5,14-May-18,Acpar,,1,2,3,3,,2,,1,,2,1,1,1,4,,1,1,2,
J3D_MI,SP,J,J3,J3D,2018,5,14-May-18,Adfas,,,,,,2,1,,,,,,,,,,,,1,
J3D_UP,SP,J,J3,J3D,2017,6,7-Jun-17,Acann,,,1,1,2,1,3,1,1,1,1,1,,2,2,,,1,,
J3D_UP,SP,J,J3,J3D,2017,6,7-Jun-17,Adfas,,,,,,,,1,1,,,,,,,1,,,,
J3D_UP,SP,J,J3,J3D,2017,6,7-Jun-17,Cecun,,,,,,1,,,,,,,,,,,,,,
J3D_UP,SP,J,J3,J3D,2018,5,14-May-18,Acbra,,,,1,,1,1,,,,,,2,5,,,,,,
J3D_UP,SP,J,J3,J3D,2018,5,14-May-18,Acgla,10,5,10,1,4,3,,,,,,2,,,,1,4,,1,
J3D_UP,SP,J,J3,J3D,2018,5,14-May-18,Acpar,,2,4,2,,,,,,2,4,4,,,2,,,1,,3
J3D_UP,SP,J,J3,J3D,2018,5,14-May-18,Adfas,,,,,,,1,,,,,,,,,,,,,
J3D_UP,SP,J,J3,J3D,2018,5,14-May-18,Cecun,,,,,,,,,1,,,,,,,,,,,
J3D_UP,SP,J,J3,J3D,2018,5,14-May-18,Trhir,,,,,2,,,,,,,,,,,2,,2,1,1
J3D_UP,SP,J,J3,J3D,2018,5,14-May-18,Trmic,,,,,,,,,,,,,,,,,,,2,
J3E_LW,SP,J,J3,J3E,2017,6,7-Jun-17,Adfas,9,3,5,5,6,5,8,17,10,6,10,6,8,6,10,7,9,4,11,6
J3E_LW,SP,J,J3,J3E,2018,5,14-May-18,Adfas,5,2,,,,,,,2,2,,,1,3,6,,,1,1,2
J3E_MI,SP,J,J3,J3E,2017,6,7-Jun-17,Adfas,,2,1,2,3,,1,,,1,8,4,7,8,8,8,4,6,4,2
J3E_MI,SP,J,J3,J3E,2018,5,14-May-18,Adfas,,4,2,,2,3,4,4,2,4,2,2,4,4,3,3,4,5,1,3
J3E_UP,SP,J,J3,J3E,2017,6,7-Jun-17,Adfas,,,,,,,,,,,,,,,,1,,1,2,3
J3E_UP,SP,J,J3,J3E,2018,5,14-May-18,Adfas,,,,,1,2,1,6,2,2,,1,,1,1,2,4,5,3,8
J3F_LW,SP,J,J3,J3F,2017,6,7-Jun-17,Adfas,,,,,,,1,,1,,2,2,,,,,3,,,
J3F_LW,SP,J,J3,J3F,2017,6,7-Jun-17,Aicar,,,,,,,,,,,,,,,,,2,1,,
J3F_LW,SP,J,J3,J3F,2017,6,7-Jun-17,Empen,,,,8,,1,,1,,,,,,,2,,,1,6,
J3F_LW,SP,J,J3,J3F,2017,6,7-Jun-17,Gaphl,1,3,,1,,1,2,,3,1,,,2,2,,2,2,1,,
J3F_LW,SP,J,J3,J3F,2017,6,7-Jun-17,Hesco,,,,,,,,1,,,,,,,,,,,,
J3F_LW,SP,J,J3,J3F,2017,6,7-Jun-17,Logal,,,,,,,,1,,,,1,1,,,,,,,
J3F_LW,SP,J,J3,J3F,2018,5,15-May-18,Adfas,,,2,4,4,1,,,1,4,12,5,11,9,3,2,4,4,1,4
J3F_LW,SP,J,J3,J3F,2018,5,15-May-18,Hesco,6,,,,,,,,,1,,,,,,,,3,5,
J3F_LW,SP,J,J3,J3F,2018,5,15-May-18,Hycon,,,,,,,,,,,,2,,,,,,,,
J3F_LW,SP,J,J3,J3F,2018,5,15-May-18,Logal,,2,,2,1,,2,,3,,,,,,1,,,1,,
J3F_MI,SP,J,J3,J3F,2017,6,7-Jun-17,Adfas,,,,2,,1,3,2,1,2,,,,,,1,1,,2,
J3F_MI,SP,J,J3,J3F,2017,6,7-Jun-17,Chpom,,,,,,,,,,,,,,,1,,,,,
J3F_MI,SP,J,J3,J3F,2017,6,7-Jun-17,Gicap,1,2,2,1,2,2,2,,,,2,1,4,,,3,,2,,1
J3F_MI,SP,J,J3,J3F,2017,6,7-Jun-17,Brhor,,,,,2,,,,,,,,,,,,,,,
J3F_MI,SP,J,J3,J3F,2018,5,15-May-18,Acpar,,,,,,,,,,,1,2,,,,,,,,
J3F_MI,SP,J,J3,J3F,2018,5,15-May-18,Adfas,3,8,4,5,4,3,,1,1,2,1,,1,3,3,3,1,,2,6
J3F_MI,SP,J,J3,J3F,2018,5,15-May-18,Brhor,,,,,,,,,,,,,,,,,1,,,
J3F_MI,SP,J,J3,J3F,2018,5,15-May-18,Gaphl,,,2,,1,,,,,,,,,,,,,,,
J3F_MI,SP,J,J3,J3F,2018,5,15-May-18,Gicap,,,,,,,,,,,,,,1,,,,,,
J3F_MI,SP,J,J3,J3F,2018,5,15-May-18,Hygla,,,,,,1,,,,,,,1,,1,,,,,
J3F_MI,SP,J,J3,J3F,2018,5,15-May-18,Logal,,,3,,2,4,1,3,4,1,4,,,2,,,,1,1,
J3F_UP,SP,J,J3,J3F,2017,6,7-Jun-17,Adfas,,3,5,2,1,,,2,2,3,5,7,5,2,7,2,5,3,4,4
J3F_UP,SP,J,J3,J3F,2017,6,7-Jun-17,Lofil,,,,,,,,,1,2,,,,,,,,,,
J3F_UP,SP,J,J3,J3F,2017,6,7-Jun-17,Logal,,,,,,,2,2,,,,,,,,,,,,
J3F_UP,SP,J,J3,J3F,2018,5,15-May-18,Adfas,,,,,,,,,,,,,1,1,4,1,,,2,1
J3F_UP,SP,J,J3,J3F,2018,5,15-May-18,Chpom,,,,,,,,1,,,,,,,,,,,1,1
J3F_UP,SP,J,J3,J3F,2018,5,15-May-18,Logal,,1,,,,1,,1,,,,1,,,,,1,,,
J3F_UP,SP,J,J3,J3F,2018,5,15-May-18,Tacal,,1,,,,,,,,,,,,,,,,,,
J4A_LW,SP,J,J4,J4A,2017,6,7-Jun-17,Acann,,,,,1,,,,,,1,1,1,,,1,,,1,1
J4A_LW,SP,J,J4,J4A,2017,6,7-Jun-17,Acgla,,,,,,,,,,1,,,,1,,,,,,
J4A_LW,SP,J,J4,J4A,2017,6,7-Jun-17,Adfas,,,,,,,5,5,3,,,,,,,,,,,
J4A_LW,SP,J,J4,J4A,2018,5,15-May-18,Acgla,,,,,,,,,,,,,,,1,1,,3,1,
J4A_LW,SP,J,J4,J4A,2018,5,15-May-18,Adfas,,,,,,,,1,,,1,1,,1,4,,,1,1,1
J4A_LW,SP,J,J4,J4A,2018,5,15-May-18,Brdia,,1,,,,,,,,,1,,,,,,2,,,
J4A_LW,SP,J,J4,J4A,2018,5,15-May-18,Crmur,,,,,,,,,,,,1,,,,,,,,
